parameter_name,Embryo turning
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Early adult
pvalue,0.3634224
analysis_id,w991856m5clf0tj
parameter_id,IMPC_GEL_011_001
