analysis_id,bgq0j62e021283p
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_id,UCDLA_EYE_017_001
parameter_name,Lens Opacity
pvalue,1.439413
