parameter_name,Periphery average speed
analysis_id,u42rx22oezv659g
parameter_id,HRWLLA_OFD_013_001
mouse_strain,C57BL
gene_symbol,Atf3
mouse_life_stage,Early adult
gene_accession_id,MGI:109384
pvalue,0.1734689
