gene_symbol,Mms22l
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
parameter_name,Joints
mouse_strain,C57BL
analysis_id,31j9i7n5c098kj7
parameter_id,IMPC_XRY_027_001
pvalue,0.25687
