analysis_id,5l45dhp5ta00k2q
parameter_id,MGP_IMM_125_001
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_name,Eosinophils - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
pvalue,0.2019918
