gene_symbol,Serinc3
parameter_id,MGP_PBI_011_001
parameter_name,KLRG1+ mature NK cell percentage
analysis_id,60t3du5997gyz4c
pvalue,0.6443653
gene_accession_id,MGI:1349457
mouse_strain,C57BL
mouse_life_stage,Early adult
