gene_symbol,Secisbp2l
parameter_id,IMPC_HEM_003_001
gene_accession_id,MGI:1917604
pvalue,0.9918239
parameter_name,Hemoglobin
analysis_id,518b8s9h5554crn
mouse_strain,C57BL
mouse_life_stage,Late adult
