analysis_id,10h6a78h74ym18z
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:1927232
pvalue,0.2212873
parameter_id,MGP_PBI_002_001
gene_symbol,Rab13
