analysis_id,2b54x66k64b0vjo
parameter_name,Distance travelled - total
gene_symbol,Rnf114
pvalue,0.4741602
gene_accession_id,MGI:1933159
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_020_001
