parameter_name,Centre distance travelled
mouse_life_stage,Early adult
gene_symbol,Stk35
gene_accession_id,MGI:1914583
analysis_id,85h2ogsz1io7n57
mouse_strain,C57BL
parameter_id,ESLIM_007_001_010
pvalue,0.8405093
