analysis_id,ju3iul6m593nqp4
parameter_name,Right kidney weight
gene_accession_id,MGI:107414
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
pvalue,0.8425597
