parameter_name,B1B Cells
analysis_id,k1385fov73506o1
gene_symbol,Nemp2
pvalue,0.1570828
mouse_strain,C57BL
parameter_id,IMPC_IMM_064_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2444113
