mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_id,JAXLA_HBD_001_001
gene_symbol,Bmi1
parameter_name,Total holepokes
analysis_id,72ldlcif9sk1935
mouse_life_stage,Early adult
pvalue,0.9089733
