analysis_id,la1080wv91w19mk
gene_symbol,Golm2
gene_accession_id,MGI:2443129
parameter_name,Neutrophil differential count
parameter_id,IMPC_HEM_029_001
pvalue,0.3285362
mouse_strain,C57BL
mouse_life_stage,Early adult
