gene_symbol,Lamb3
mouse_strain,C57BL
parameter_id,MGP_MLN_015_001
mouse_life_stage,Early adult
pvalue,0.8611811
parameter_name,Naive CD8+ T cells - % of CD8+
analysis_id,2o0s04u87vqjyzt
gene_accession_id,MGI:99915
