gene_symbol,Zfp683
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ECG_005_001
pvalue,0.2578176
parameter_name,PQ
analysis_id,yq4204ijo31ks4m
