analysis_id,8nwk7vi97k409k9
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.4611597
mouse_life_stage,Early adult
parameter_id,MGP_IMM_022_001
gene_symbol,Hrnr
mouse_strain,C57BL
gene_accession_id,MGI:3046938
