parameter_name,NKT cells (panel A)
parameter_id,IMPC_IMM_004_001
gene_symbol,Cd52
pvalue,0.5898677
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
mouse_strain,C57BL
analysis_id,qi7k3414710ka3k
