analysis_id,50w15c9g45o5i45
parameter_name,Lumbar processes
gene_accession_id,MGI:2446186
pvalue,0.6080817
gene_symbol,Lpgat1
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
mouse_life_stage,Late adult
