analysis_id,919590c1unls4u1
mouse_life_stage,Early adult
pvalue,0.8488277
gene_accession_id,MGI:1913838
mouse_strain,C57BL
parameter_name,LVIDd
gene_symbol,Cmpk1
parameter_id,IMPC_ECH_008_001
