analysis_id,9mn98fndo7y531y
mouse_strain,C57BL
gene_symbol,Lpgat1
pvalue,0.2596186
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
parameter_id,MGP_BMI_014_001
