analysis_id,y9s3q7f2o0g2b24
parameter_name,End-Systolic Diameter
gene_accession_id,MGI:1915033
gene_symbol,Ahctf1
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.89807
parameter_id,IMPC_ECH_001_001
