gene_symbol,Arpc2
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:1923959
pvalue,0.8589139
mouse_strain,C57BL
analysis_id,t04lvzrm598395b
mouse_life_stage,Early adult
parameter_name,Bone Mineral Density (excluding skull)
