analysis_id,vm526ogrvbd7945
gene_accession_id,MGI:95835
parameter_name,Periphery resting time
gene_symbol,Hspa5
parameter_id,HRWLLA_OFD_011_001
mouse_strain,C57BL
pvalue,0.906791
mouse_life_stage,Early adult
