analysis_id,8v3i50b096hz9n6
gene_symbol,Slx4ip
pvalue,0.1631417
parameter_name,Distance travelled - total
mouse_strain,C57BL
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_020_001
