analysis_id,2ix23076r0qv9v0
mouse_strain,129SV
parameter_id,JAX_URI_002_001
mouse_life_stage,Early adult
parameter_name,Creatinine
pvalue,0.09072823
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
