gene_symbol,Tnfsf8
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,t1wj504mw5n1u12
pvalue,0.09394859
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_accession_id,MGI:88328
parameter_id,MGP_BMI_006_001
