parameter_name,Retinal Blood Vessels Pattern
analysis_id,zkagye3v79765dr
gene_symbol,Tiprl
mouse_life_stage,E12.5
pvalue,0.2817535
gene_accession_id,MGI:1915087
parameter_id,IMPC_EYE_026_001
mouse_strain,C57BL
