parameter_name,Narrow eye opening
mouse_life_stage,E9.5
analysis_id,307g53x06b4ha03
pvalue,0.4582146
gene_accession_id,MGI:1924315
mouse_strain,C57BL
gene_symbol,Ints7
parameter_id,IMPC_EYE_006_001
