gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
parameter_id,MGP_IMM_041_001
mouse_strain,C57BL
pvalue,0.5215375
mouse_life_stage,Late adult
analysis_id,pe4gkg271r4d78a
parameter_name,Total B cells - % of CD45+
