parameter_name,Mean platelet volume
mouse_life_stage,Early adult
analysis_id,4regc3x095mpsw0
mouse_strain,C57BL
parameter_id,IMPC_HEM_019_001
pvalue,0.4550981
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
