analysis_id,t215mf64e1i6j3y
parameter_name,Mean platelet volume
pvalue,0.5102639
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dnaaf9
gene_accession_id,MGI:1923029
parameter_id,IMPC_HEM_019_001
