analysis_id,62z5b9163zp4mq4
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_name,Lymphocyte differential count
gene_accession_id,MGI:2444554
pvalue,0.8333888
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_031_001
