parameter_id,MGP_CSD_030_001
analysis_id,93k035bd49e465p
gene_symbol,Slc39a10
mouse_life_stage,Early adult
parameter_name,Limb coat/hair presence
mouse_strain,C57BL
pvalue,0.6272569
gene_accession_id,MGI:1914515
