parameter_name,White blood cell count
analysis_id,79215v1k00a752x
parameter_id,IMPC_HEM_001_001
mouse_life_stage,E9.5
pvalue,0.5451243
mouse_strain,C57BL
gene_accession_id,MGI:97838
gene_symbol,Eprs1
