analysis_id,148o38f1z00447i
mouse_life_stage,Early adult
parameter_id,MGP_MLN_064_001
mouse_strain,C57BL
parameter_name,Total CD4+ T cells - % of CD45+
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
pvalue,0.4515693
