parameter_name,Hematocrit
gene_accession_id,MGI:1915033
pvalue,0.5616155
parameter_id,IMPC_HEM_004_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ahctf1
analysis_id,266svkt66056m45
