analysis_id,n71fvj5000173s2
mouse_life_stage,Early adult
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
gene_accession_id,MGI:1921442
pvalue,0.5362757
gene_symbol,Arpc5l
mouse_strain,C57BL
