parameter_id,JAX_OFD_022_001
parameter_name,Percentage center time
gene_accession_id,MGI:1934811
mouse_strain,C57BL
analysis_id,496wg0s7669k64p
gene_symbol,Nucks1
pvalue,0.3193546
mouse_life_stage,Late adult
