parameter_name,Eyelid morphology
gene_symbol,Jun
analysis_id,7ei0690bj9bxg0o
gene_accession_id,MGI:96646
mouse_strain,C57BL
parameter_id,IMPC_EYE_004_001
mouse_life_stage,E15.5
pvalue,0.6748232
