analysis_id,a9q9a0214s3202q
pvalue,0.6469528
parameter_name,BMC/Body weight
parameter_id,IMPC_DXA_007_001
mouse_strain,C57BL
gene_accession_id,MGI:894679
gene_symbol,Bach2
mouse_life_stage,Early adult
