gene_symbol,Cd52
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
mouse_strain,C57BL
parameter_id,IMPC_EYE_006_001
parameter_name,Narrow eye opening
analysis_id,y7el25102nd92m3
pvalue,0.9117907
