analysis_id,a4h2l06xf44cr93
gene_symbol,Ntmt2
mouse_life_stage,Early adult
pvalue,0.7590345
mouse_strain,C57BL
gene_accession_id,MGI:2685053
parameter_id,MGP_MLN_013_001
parameter_name,Effector CD8+ T cells - % of CD8+
