parameter_name,Aspartate aminotransferase
analysis_id,43s1z243z7324cg
mouse_strain,C57BL
parameter_id,IMPC_CBC_012_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
pvalue,0.3529001
