gene_symbol,Bdh2
mouse_strain,C57BL
analysis_id,2zxt3p2c09q830t
parameter_id,HMGULA_CBC_017_001
pvalue,0.4612282
mouse_life_stage,Early adult
parameter_name,Triglycerides
gene_accession_id,MGI:1917022
