analysis_id,itomo618gr4q0f9
gene_accession_id,MGI:1915325
parameter_name,Chloride
gene_symbol,Lurap1
parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
pvalue,0.6432168
mouse_strain,C57BL
