analysis_id,r32643b308x0715
gene_accession_id,MGI:1914672
mouse_strain,C57BL
parameter_name,Delayed embryonic development
gene_symbol,Dhdds
parameter_id,IMPC_GEL_063_001
mouse_life_stage,Early adult
pvalue,0.8817381
