parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
analysis_id,2hj5t0t46zpbjfo
parameter_id,MGP_PBI_019_001
mouse_strain,129SV
pvalue,0.3822845
gene_symbol,Inpp1
