gene_symbol,Rufy4
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
analysis_id,ip18t9zqf8v0711
pvalue,0.3679752
mouse_strain,C57BL
gene_accession_id,MGI:3588214
parameter_name,Dark side time spent
