gene_symbol,Ddx27
parameter_name,Right kidney weight
gene_accession_id,MGI:2385884
mouse_life_stage,Early adult
pvalue,0.7623952
parameter_id,IMPC_OWT_004_001
mouse_strain,129SV
analysis_id,sr3a3t26129xenx
