parameter_id,HMGULA_HWT_008_001
gene_symbol,Eprs1
analysis_id,7k4agl6hbf628e3
parameter_name,Heart weight
pvalue,0.9758871
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:97838
