analysis_id,a36kw030tt17u2h
mouse_life_stage,Early adult
pvalue,0.4552117
mouse_strain,129SV
parameter_name,Body Weight
gene_symbol,Inpp1
parameter_id,M-G-P_012_001_005
gene_accession_id,MGI:104848
