gene_symbol,Fpgs
parameter_name,Caudal processes
pvalue,0.996399
analysis_id,n4lqdh27gpp590v
parameter_id,IMPC_XRY_067_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
