parameter_name,Click-evoked ABR threshold
gene_symbol,Orc2
pvalue,0.7316401
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
mouse_strain,C57BL
parameter_id,IMPC_ABR_002_001
analysis_id,xng071h3ev5b7mq
