analysis_id,4snatunms80lu8w
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.5672289
gene_accession_id,MGI:2181659
parameter_id,HRWLLA_FEA_015_001
parameter_name,Cue Baseline % Freezing Time
gene_symbol,Tox
