analysis_id,ydr9344574nh7mr
gene_accession_id,MGI:1917604
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
parameter_id,MGP_IMM_094_001
pvalue,1.076896
mouse_strain,C57BL
gene_symbol,Secisbp2l
