parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
mouse_life_stage,Early adult
pvalue,0.9275646
gene_accession_id,MGI:1921442
mouse_strain,C57BL
gene_symbol,Arpc5l
analysis_id,58g9fkylspxt819
