analysis_id,n1blo066tzx471t
pvalue,0.1493675
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
mouse_strain,129SV
parameter_name,Limb coat/hair presence
gene_symbol,Cntfr
parameter_id,MGP_CSD_030_001
