gene_symbol,Trim46
mouse_strain,C57BL
gene_accession_id,MGI:2673000
analysis_id,0p8m9y0o4g42086
parameter_id,MGP_IMM_101_001
mouse_life_stage,Early adult
pvalue,0.9559868
parameter_name,KLRG1+ NK cells - % of CD45+
