analysis_id,r103b3nb3168wa4
parameter_id,MGP_IMM_007_001
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1913506
pvalue,0.7396759
mouse_strain,C57BL
gene_symbol,Ssr2
