parameter_id,IMPC_EYE_024_001
pvalue,0.4531527
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels
gene_accession_id,MGI:1925049
analysis_id,651a8084pm6qsgi
gene_symbol,Sla2
