analysis_id,tcu11n34em48c1h
mouse_life_stage,Early adult
gene_symbol,Eprs1
pvalue,0.9316252
parameter_name,NK Subsets (Q2)
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_id,IMPC_IMM_055_001
