analysis_id,7ec20lpedlo819v
parameter_id,ESLIM_011_001_705
pvalue,1.063628
mouse_strain,C57BL
gene_symbol,Cldn19
mouse_life_stage,Early adult
gene_accession_id,MGI:3033992
parameter_name,Global prepulse inhibition
