gene_symbol,Rufy4
parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
mouse_life_stage,Early adult
analysis_id,g54137g1aon47l7
mouse_strain,C57BL
pvalue,0.6673487
gene_accession_id,MGI:3588214
